date,mpg,gallons,USD,miles,ethanol,octane
2019-06-28,16.55110248231868,14.422,37.48,238.7,10,87
2019-06-30,21.054852320675106,11.85,30.8,249.5,10,87
2019-07-02,22.681637260143766,16.833,43.08,381.8,0,87
2019-07-06,22.80316344463972,11.38,29.12,259.5,10,87
2019-07-11,20.914588990372746,16.204,41.47,338.9,10,87
2019-07-13,22.02340377187003,17.604,47.51,387.7,NA,87
2019-07-15,19.6339837595443,8.251,20.29,162,NA,87
2019-07-26,16.865635278353025,16.418,38.89,276.9,10,87
2019-07-28,19.10169063840525,3.963,11.65,75.7,10,87
2019-07-28,20.273748245203556,8.548,23.93,173.3,0,87
2019-07-28,22.156483941077035,8.282,22.6,183.5,0,87
2019-07-28,20.09164121077478,7.202,20.16,144.7,0,87
2019-08-01,20.488206253428412,10.938,32.47,224.1,0,87
2019-08-12,19.060552803962292,12.518,40.05,238.6,0,87
2019-08-12,24.801512287334596,7.935,23.4,196.8,0,87
2019-08-12,21.69864559819413,10.632,25.51,230.7,0,87
2019-08-13,20.317033472507255,14.131,36.02,287.1,10,87
2019-08-23,17.2461752433936,13.661,29.77,235.6,10,87
2019-08-28,19.911600608651547,13.801,34.49,274.8,10,87
2019-08-29,21.908939014202172,9.576,27.28,209.8,10,87
2019-08-29,24.507807196198236,11.784,31.1,288.8,0,87
2019-09-01,27.54590984974958,6.589,17.49,181.5,10,87
2019-09-03,22.599179206566347,10.965,31.02,247.8,10,87
2019-09-03,18.27148896195397,6.387,15.9,116.7,NA,87
2019-09-03,16.436821237717634,11.602,28.65,190.7,NA,87
2019-09-04,14.811559169322052,9.101,22.02,134.8,0,87
2019-09-04,15.643485211830535,12.51,35.52,195.7,10,87
2019-09-04,15.960243141120422,12.174,32.86,194.3,0,87
2019-09-04,14.95742317660126,16.206,46.98,242.4,0,87
2019-09-05,17.010414539513988,9.794,26.43,166.6,0,87
2019-09-09,20.10849332553316,18.803,55.36,378.1,10,87
2019-09-09,19.322189848182795,6.521,18.9,126,10,87
2019-09-09,18.302310422249583,13.807,51.07,252.7,0,87
2019-09-10,18.464969622394833,13.003,39,240.1,0,87
2019-09-17,15.550359825767899,24.62322443275629,175.6128,382.9,10,87
2019-09-26,15.40077245114035,15.220015797496174,107.96280000000002,234.4,10,87
2019-10-03,16.54098351286359,16.03894954575594,120.13320000000002,265.3,0,87
2019-10-15,14.304669165493891,18.95884461656729,132,271.2,NA,87
2019-10-25,13.490839712078651,16.551971913214157,118.19280000000002,223.3,10,87
2019-11-04,13.49566557305337,18.11692788892088,139.8804,244.5,NA,87
2019-11-12,14.141723869832035,10.804906205668606,65.3268,152.8,NA,87
2019-11-22,23.98011028866021,13.169247188547606,81.53640000000001,315.8,NA,87
2019-11-27,14.048317786056852,12.834276868291678,82.0248,180.3,NA,87
2019-12-03,14.693398354010563,15.054379842606217,96.21480000000001,221.2,NA,87
2019-12-10,NA,NA,NA,NA,10,87
2019-12-17,13.344543040928297,12.566934625311392,77.8008,167.7,10,87
2019-12-23,15.513896279105353,10.358455226778604,67.188,160.7,10,87
2019-12-30,17.863946321295597,11.5651937306659,72.1776,206.6,10,87
2020-01-07,14.230087337351982,13.541729957917372,91.3308,192.7,10,87
2020-02-11,NA,13.107430899162837,92.9412,NA,10,87
2020-02-11,NA,9.381018172404046,62.2908,NA,10,87
2020-02-16,NA,15.983,56.88,NA,10,87
2020-02-18,NA,9.822449879933746,67.6764,NA,10,87
2020-02-25,NA,10.173534702978014,72.6396,NA,10,87
2020-03-03,NA,14.719673694527144,100.68960000000001,NA,10,87
2020-03-10,NA,14.514676085285346,94.20840000000001,NA,10,87
2020-03-15,NA,12.548,31.88,NA,10,87
2020-03-15,NA,17.884,48.12,NA,10,87
2020-03-15,NA,12.315,30.78,NA,10,87
2020-03-15,NA,15.147,34.81,NA,10,87
2020-03-15,NA,12.513,28.64,NA,0,87
2020-03-16,NA,16.013,36.81,NA,10,87
2020-03-16,NA,14.225,33.13,NA,10,87
2020-03-16,NA,13.784,32.93,NA,10,87
2020-03-17,NA,7.023,13.06,NA,0,87
2020-06-09,NA,3.415482074596939,22.61,NA,10,87
2020-06-16,NA,13.634,24.12,NA,10,87
2020-06-23,NA,12.407,24.18,NA,10,87
2020-06-30,NA,14.895,29.78,NA,10,87
2020-07-05,NA,13.519,28.38,NA,10,87
2020-07-05,NA,9.588,21.08,NA,10,87
2020-07-06,NA,9.588,21.08,NA,0,87
2020-07-17,NA,12.874,32.17,NA,0,87
2020-07-18,NA,12.874,32.17,NA,0,87
2020-08-07,NA,10.936,27.22,NA,0,87
2020-08-07,NA,14.572,29.13,NA,NA,87
2020-08-07,NA,14.572,29.13,NA,10,87
2020-08-12,NA,10.936,27.22,NA,10,87
2020-08-13,NA,11.679,22.41,NA,NA,87
2020-08-19,NA,16.565,35.43,NA,0,87
2020-09-16,NA,12.017,21.66,NA,10,87
2020-09-18,NA,9.645,20.24,NA,10,87
2020-09-20,NA,17.079,37.56,NA,0,87
2020-09-20,NA,10.652,23.42,NA,0,87
2020-09-23,NA,12.017,21.66,NA,10,87
